Co_code,Year,Years,Monthyear,Scrip_name,Compname,Scripcode,Isin,Bsegroup,Mcaptype,Bselistedflag,Nselistedflag,Mcap,Sectorcode,Sectorname,Industrycode,Industryname,Categoryname,Bsesymbol,Bsestatus,Nsestatus,Symbol,Listing,Statement,Companymode,Monthyear,Sectorcode,Industrycode,Income,Net Sales,Other Income,Total Income,Expenditure,Operating Expenses & Administrative Expenses,Miscellaneous Expenses,Interest,Employee Cost,Total Expenditure,Depreciation,Profit Before Tax,Tax,Fringe Benefit Tax,Deferred Tax,Extraordinary Items,Adjusted Net Profit,Adjustment Below Net Profit,P & L Balance Brought Forward,Appropriations,P & L Balance Carried Down,Dividend,Preference Dividend,Equity Dividend %,Dividend Per Share(rs),Other Operating Income,Operating Income - Premium,Cost Of Goods Sold,Changes In Inventory,Advertisement Expenses,R&d Expenses,Net Profit,Earnings Per Share,Earnings Per Share(adj),Book Value(adj),Book Value,Operating Income Sales,Less Pre Operative Expenses Capitalised,Operating Income Premium,Operating Profit,Operating & Administration Expenses,Minority Interest (before Tax),Fringe Benefit Tax,Minority Interest (after Tax),Profit To Loss Of Associate Company,Net Profit After Minority Interest & P&l Assoco,Equity Dividend (%),Eps Before Minority Interest (unit Curr),Eps Before Minority Interest (adj) (unit Curr),Eps After Minority Interest (unit Curr),Eps After Minority Interest (adj) (unit Curr),Sales Turnover,Excise Duty,Stock Adjustments,Raw Materials,Power & Fuel Cost,Other Manufacturing Expenses,Selling & Administrative Expenses,Statutory Appropriations,Ebidt,Promotors Holding,Promotors Holding(%),Government Holding,Government Holding(%),Pledged,Pledged(%),Banks & Financial Institutions,Banks & Financial Institutions(%),Fii,Fii(%),Other Dii,Other Dii(%),Insurance Companies,Insurance Companies(%),Mutual Funds,Mutual Funds(%),Others,Others(%),Total,Total(%)
11,2024-09,2024,Sep2024,Alfred Herbert,Alfred Herbert (India) Ltd,505216,INE782D01027,X,Small Cap,Y,N,123.2,00000026,Finance,00000050,Finance & Investments,Company,ALFREDHE,Active,Delisted,ALFREDHERB,Y,Nutral,0,Sep2024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569805.0,73.86359999999999,84.0,0.0109,0.0,0.0,90.0,0.0117,0.0,0.0,56362.0,0.0,0.0,0.0,0.0,0.0,145172.0,26.1139,715067.0,73.8862
11,2024-06,2024,Jun2024,Alfred Herbert,Alfred Herbert (India) Ltd,505216,INE782D01027,X,Small Cap,Y,N,123.2,00000026,Finance,00000050,Finance & Investments,Company,ALFREDHE,Active,Delisted,ALFREDHERB,Y,Nutral,0,Jun2024,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569805.0,73.86359999999999,84.0,0.0109,0.0,0.0,90.0,0.0117,0.0,0.0,53826.0,0.0,0.0,0.0,0.0,0.0,147708.0,26.1139,717603.0,73.8862
11,2024-03,2024,Mar2024,Alfred Herbert,Alfred Herbert (India) Ltd,505216,INE782D01027,X,Small Cap,Y,N,123.2,00000026,Finance,00000050,Finance & Investments,Company,ALFREDHE,Active,Delisted,ALFREDHERB,Y,Nutral,S,Mar2024,00000026,00000050,0.0,1.54,0.41,1.95,0.0,0.7000000000000001,0.08,0.01,0.45,1.24,0.17,0.5299999999999999,0.0,0.0,-0.2,0.0,0.72,0.0,15.47,1.41,14.79,0.0,0.0,40.0,4.0,0.0,0.0,0.61,0.0,0.0,0.0,0.72,9.37,9.37,1421.6,1421.6,1.54,0.0,1.54,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569805.0,73.86359999999999,84.0,0.0109,0.0,0.0,90.0,0.0117,0.0,0.0,53311.0,0.0,0.0,0.0,0.0,0.0,148223.0,26.1139,718118.0,73.8862
11,2024-03,2024,Mar2024,Alfred Herbert,Alfred Herbert (India) Ltd,505216,INE782D01027,X,Small Cap,Y,N,123.2,00000026,Finance,00000050,Finance & Investments,Company,ALFREDHE,Active,Delisted,ALFREDHERB,Y,Nutral,C,Mar2024,00000026,00000050,0.0,1.79,0.42,2.21,0.0,0.0,0.09,0.04,0.45,1.53,0.17,0.5199999999999999,0.02,0.0,-0.18,0.0,0.67,0.0,16.5,1.43,15.74,0.0,0.0,0.0,4.0,0.1,0.0,0.61,-0.05,0.0,0.0,0.67,0.0,0.0,1557.31,1557.31,1.69,0.0,1.69,0.69,0.9500000000000001,0.0,0.0,0.0,0.0,0.67,40.0,8.75,8.75,8.75,8.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569805.0,73.86359999999999,84.0,0.0109,0.0,0.0,90.0,0.0117,0.0,0.0,53311.0,0.0,0.0,0.0,0.0,0.0,148223.0,26.1139,718118.0,73.8862
11,2023-12,2023,Dec2023,Alfred Herbert,Alfred Herbert (India) Ltd,505216,INE782D01027,X,Small Cap,Y,N,123.2,00000026,Finance,00000050,Finance & Investments,Company,ALFREDHE,Active,Delisted,ALFREDHERB,Y,Nutral,0,Dec2023,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569805.0,73.86359999999999,84.0,0.0109,0.0,0.0,90.0,0.0117,0.0,0.0,52351.0,0.0,0.0,0.0,0.0,0.0,149183.0,26.1139,719078.0,73.8862
11,2023-09,2023,Sep2023,Alfred Herbert,Alfred Herbert (India) Ltd,505216,INE782D01027,X,Small Cap,Y,N,123.2,00000026,Finance,00000050,Finance & Investments,Company,ALFREDHE,Active,Delisted,ALFREDHERB,Y,Nutral,0,Sep2023,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569805.0,73.86359999999999,84.0,0.0109,0.0,0.0,90.0,0.0117,0.0,0.0,51439.0,0.0,0.0,0.0,0.0,0.0,150095.0,26.1139,719990.0,73.8862
11,2023-06,2023,Jun2023,Alfred Herbert,Alfred Herbert (India) Ltd,505216,INE782D01027,X,Small Cap,Y,N,123.2,00000026,Finance,00000050,Finance & Investments,Company,ALFREDHE,Active,Delisted,ALFREDHERB,Y,Nutral,0,Jun2023,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569805.0,73.86359999999999,84.0,0.0109,0.0,0.0,90.0,0.0117,0.0,0.0,47042.0,0.0,0.0,0.0,0.0,0.0,154492.0,26.1139,724387.0,73.8862
11,2023-03,2023,Mar2023,Alfred Herbert,Alfred Herbert (India) Ltd,505216,INE782D01027,X,Small Cap,Y,N,123.2,00000026,Finance,00000050,Finance & Investments,Company,ALFREDHE,Active,Delisted,ALFREDHERB,Y,Nutral,S,Mar2023,00000026,00000050,0.0,1.47,5.62,7.09,0.0,0.62,4.39,0.03,0.49,5.53,0.18,1.3800000000000001,0.0,0.0,-0.09,0.0,1.48,0.0,15.51,1.52,15.47,0.0,0.0,35.0,3.5,0.0,0.0,0.65,0.0,0.0,0.0,1.48,19.18,19.18,1233.68,1233.68,1.47,0.0,1.47,1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569805.0,73.86359999999999,84.0,0.0109,0.0,0.0,90.0,0.0117,0.0,0.0,46398.0,0.0,0.0,0.0,0.0,0.0,155136.0,26.1139,725031.0,73.8862
11,2023-03,2023,Mar2023,Alfred Herbert,Alfred Herbert (India) Ltd,505216,INE782D01027,X,Small Cap,Y,N,123.2,00000026,Finance,00000050,Finance & Investments,Company,ALFREDHE,Active,Delisted,ALFREDHERB,Y,Nutral,C,Mar2023,00000026,00000050,0.0,2.76,1.15,3.9099999999999997,0.0,0.0,0.13,0.03,0.49,1.7599999999999998,0.18,1.97,0.01,0.0,-0.08,0.05,1.9999999999999998,0.0,15.98,1.53,16.5,0.0,0.0,0.0,3.5,1.2,0.0,0.52,-0.36,0.0,0.0,2.05,0.0,0.0,1357.59,1357.59,1.56,0.0,1.56,2.15,1.1099999999999999,0.0,0.0,0.0,0.0,2.05,35.0,26.57,26.57,26.57,26.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569805.0,73.86359999999999,84.0,0.0109,0.0,0.0,90.0,0.0117,0.0,0.0,46398.0,0.0,0.0,0.0,0.0,0.0,155136.0,26.1139,725031.0,73.8862
11,2022-12,2022,Dec2022,Alfred Herbert,Alfred Herbert (India) Ltd,505216,INE782D01027,X,Small Cap,Y,N,123.2,00000026,Finance,00000050,Finance & Investments,Company,ALFREDHE,Active,Delisted,ALFREDHERB,Y,Nutral,0,Dec2022,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569801.0,73.863,84.0,0.0109,0.0,0.0,90.0,0.0117,0.0,0.0,46368.0,0.0,0.0,0.0,0.0,0.0,155170.0,26.1144,725061.0,73.88560000000001
